sent=8820, configured_rate=20.0/sec
sent=8840, configured_rate=20.0/sec
sent=8860, configured_rate=20.0/sec
sent=8880, configured_rate=20.0/sec
sent=8900, configured_rate=20.0/sec
sent=8920, configured_rate=20.0/sec
sent=8940, configured_rate=20.0/sec
sent=8960, configured_rate=20.0/sec
sent=8980, configured_rate=20.0/sec
sent=9000, configured_rate=20.0/sec
sent=9020, configured_rate=20.0/sec
sent=9040, configured_rate=20.0/sec
sent=9060, configured_rate=20.0/sec
sent=9080, configured_rate=20.0/sec
sent=9100, configured_rate=20.0/sec
sent=9120, configured_rate=20.0/sec
sent=9140, configured_rate=20.0/sec
sent=9160, configured_rate=20.0/sec
sent=9180, configured_rate=20.0/sec
sent=9200, configured_rate=20.0/sec
sent=9220, configured_rate=20.0/sec
sent=9240, configured_rate=20.0/sec
sent=9260, configured_rate=20.0/sec
sent=9280, configured_rate=20.0/sec
sent=9300, configured_rate=20.0/sec
sent=9320, configured_rate=20.0/sec
sent=9340, configured_rate=20.0/sec
sent=9360, configured_rate=20.0/sec
sent=9380, configured_rate=20.0/sec
sent=9400, configured_rate=20.0/sec
sent=9420, configured_rate=20.0/sec
sent=9440, configured_rate=20.0/sec
sent=9460, configured_rate=20.0/sec
sent=9480, configured_rate=20.0/sec
sent=9500, configured_rate=20.0/sec
sent=9520, configured_rate=20.0/sec
sent=9540, configured_rate=20.0/sec
sent=9560, configured_rate=20.0/sec
sent=9580, configured_rate=20.0/sec
sent=9600, configured_rate=20.0/sec
sent=9620, configured_rate=20.0/sec
sent=9640, configured_rate=20.0/sec
sent=9660, configured_rate=20.0/sec
sent=9680, configured_rate=20.0/sec
sent=9700, configured_rate=20.0/sec
sent=9720, configured_rate=20.0/sec
sent=9740, configured_rate=20.0/sec
sent=9760, configured_rate=20.0/sec
sent=9780, configured_rate=20.0/sec
sent=9800, configured_rate=20.0/sec
sent=9820, configured_rate=20.0/sec
sent=9840, configured_rate=20.0/sec
sent=9860, configured_rate=20.0/sec
sent=9880, configured_rate=20.0/sec
sent=9900, configured_rate=20.0/sec
sent=9920, configured_rate=20.0/sec
sent=9940, configured_rate=20.0/sec
sent=9960, configured_rate=20.0/sec
sent=9980, configured_rate=20.0/sec
sent=10000, configured_rate=20.0/sec
sent=10020, configured_rate=20.0/sec
sent=10040, configured_rate=20.0/sec
sent=10060, configured_rate=20.0/sec
sent=10080, configured_rate=20.0/sec
sent=10100, configured_rate=20.0/sec
sent=10120, configured_rate=20.0/sec
sent=10140, configured_rate=20.0/sec
sent=10160, configured_rate=20.0/sec
sent=10180, configured_rate=20.0/sec
sent=10200, configured_rate=20.0/sec
sent=10220, configured_rate=20.0/sec
sent=10240, configured_rate=20.0/sec
sent=10260, configured_rate=20.0/sec
sent=10280, configured_rate=20.0/sec
sent=10300, configured_rate=20.0/sec
sent=10320, configured_rate=20.0/sec
sent=10340, configured_rate=20.0/sec
sent=10360, configured_rate=20.0/sec
sent=10380, configured_rate=20.0/sec
sent=10400, configured_rate=20.0/sec
sent=10420, configured_rate=20.0/sec
sent=10440, configured_rate=20.0/sec
sent=10460, configured_rate=20.0/sec
sent=10480, configured_rate=20.0/sec
sent=10500, configured_rate=20.0/sec
sent=10520, configured_rate=20.0/sec
sent=10540, configured_rate=20.0/sec
sent=10560, configured_rate=20.0/sec
sent=10580, configured_rate=20.0/sec
sent=10600, configured_rate=20.0/sec
sent=10620, configured_rate=20.0/sec
sent=10640, configured_rate=20.0/sec
sent=10660, configured_rate=20.0/sec
sent=10680, configured_rate=20.0/sec
sent=10700, configured_rate=20.0/sec
sent=10720, configured_rate=20.0/sec
sent=10740, configured_rate=20.0/sec
sent=10760, configured_rate=20.0/sec
sent=10780, configured_rate=20.0/sec
sent=10800, configured_rate=20.0/sec
sent=10820, configured_rate=20.0/sec
sent=10840, configured_rate=20.0/sec
sent=10860, configured_rate=20.0/sec
sent=10880, configured_rate=20.0/sec
sent=10900, configured_rate=20.0/sec
sent=10920, configured_rate=20.0/sec
sent=10940, configured_rate=20.0/sec
sent=10960, configured_rate=20.0/sec
sent=10980, configured_rate=20.0/sec
sent=11000, configured_rate=20.0/sec
sent=11020, configured_rate=20.0/sec
sent=11040, configured_rate=20.0/sec
sent=11060, configured_rate=20.0/sec
sent=11080, configured_rate=20.0/sec
sent=11100, configured_rate=20.0/sec
sent=11120, configured_rate=20.0/sec
sent=11140, configured_rate=20.0/sec
sent=11160, configured_rate=20.0/sec
sent=11180, configured_rate=20.0/sec
sent=11200, configured_rate=20.0/sec
sent=11220, configured_rate=20.0/sec
sent=11240, configured_rate=20.0/sec
sent=11260, configured_rate=20.0/sec
sent=11280, configured_rate=20.0/sec
sent=11300, configured_rate=20.0/sec
sent=11320, configured_rate=20.0/sec
sent=11340, configured_rate=20.0/sec
sent=11360, configured_rate=20.0/sec
sent=11380, configured_rate=20.0/sec
sent=11400, configured_rate=20.0/sec
sent=11420, configured_rate=20.0/sec
sent=11440, configured_rate=20.0/sec
sent=11460, configured_rate=20.0/sec
sent=11480, configured_rate=20.0/sec
sent=11500, configured_rate=20.0/sec
sent=11520, configured_rate=20.0/sec
sent=11540, configured_rate=20.0/sec
sent=11560, configured_rate=20.0/sec
sent=11580, configured_rate=20.0/sec
sent=11600, configured_rate=20.0/sec
sent=11620, configured_rate=20.0/sec
sent=11640, configured_rate=20.0/sec
sent=11660, configured_rate=20.0/sec
sent=11680, configured_rate=20.0/sec
sent=11700, configured_rate=20.0/sec
sent=11720, configured_rate=20.0/sec
sent=11740, configured_rate=20.0/sec
sent=11760, configured_rate=20.0/sec
sent=11780, configured_rate=20.0/sec
sent=11800, configured_rate=20.0/sec
sent=11820, configured_rate=20.0/sec
sent=11840, configured_rate=20.0/sec
sent=11860, configured_rate=20.0/sec
sent=11880, configured_rate=20.0/sec
sent=11900, configured_rate=20.0/sec
sent=11920, configured_rate=20.0/sec
sent=11940, configured_rate=20.0/sec
sent=11960, configured_rate=20.0/sec
sent=11980, configured_rate=20.0/sec
sent=12000, configured_rate=20.0/sec
sent=12020, configured_rate=20.0/sec
sent=12040, configured_rate=20.0/sec
sent=12060, configured_rate=20.0/sec
sent=12080, configured_rate=20.0/sec
